eqp_id;od_id;cycle_min;mov_id
CW-120;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;49;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-120;15 BAL - 11 GRADE;27;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;46;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;58;Producao Final Minerio
CW-120;16 BAL - 11 GRADE;54;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;20;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;35;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;31;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;32;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;25;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;24;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;30;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;28;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;29;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;33;Producao Final Minerio
CW-121;15 BAL - 11 GRADE;32;Producao Final Minerio
